campaignid,opcode,status,longitude_dd,latitude_dd,observer_count,observer_length,date_time,location,site,depth_m,successful_count,successful_length,successful_habitat_forward,successful_habitat_backward,observer_habitat_forward,observer_habitat_backward
2014-12_Geographe-bay_stereo-BRUVs,151,NA,115.4329,-33.4768,Daphne,Molly,2014-12-16T09:12:00+08:00,Geographe Bay,Geographe Bay,17.2,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,154,NA,115.1968,-33.6034,Lauren,Damo,2014-12-15T10:58:00+08:00,Geographe Bay,Geographe Bay,13.6,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,160,NA,115.2478,-33.6034,Logan,Molly,2014-12-16T15:24:00+08:00,Geographe Bay,Geographe Bay,N/A,Yes,No,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,167,NA,115.4806,-33.4627,Logan,Molly,2014-12-16T09:25:00+08:00,Geographe Bay,Geographe Bay,14.4,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,170,NA,115.3698,-33.5417,Logan,Molly,2014-12-16T13:39:00+08:00,Geographe Bay,Geographe Bay,15.8,Yes,No,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,175,NA,115.1228,-33.5518,Lizzy,Lauren,2014-12-15T06:34:00+08:00,Geographe Bay,Geographe Bay,28.5,Yes,No,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,176,NA,115.1291,-33.59,Lizzy,NA,2014-12-15T06:59:00+08:00,Geographe Bay,Geographe Bay,15.4,No,No,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,183,NA,115.2488,-33.5688,Logan,Molly,2014-12-15T13:29:00+08:00,Geographe Bay,Geographe Bay,22.6,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,192,NA,115.5756,-33.4273,Lizzy,Laura,2014-12-14T11:19:00+08:00,Geographe Bay,Geographe Bay,4.9,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,196,NA,115.4045,-33.5098,Logan,Molly,2014-12-16T12:49:00+08:00,Geographe Bay,Geographe Bay,15.9,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,199,NA,115.2109,-33.5975,Lizzy,Lizzy,2014-12-15T10:53:00+08:00,Geographe Bay,Geographe Bay,15.2,Yes,No,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,202,NA,115.4117,-33.5779,Lauren,Lauren,2014-12-17T06:04:00+08:00,Geographe Bay,Geographe Bay,9.8,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,207,NA,115.2317,-33.5738,Hayley,Molly,2014-12-12T08:06:00+08:00,Geographe Bay,Geographe Bay,23.3,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,208,NA,115.5742,-33.3873,Lizzy,Laura,2014-12-14T11:03:00+08:00,Geographe Bay,Geographe Bay,7.2,Yes,Yes,NA,NA,NA,NA
